Corrente;Resistenza;Tensione;Potenza
8,537201;288,832397;2,465820;21,051203
8,537201;289,690338;2,473145;21,113731
8,537201;289,690338;2,473145;21,113731
8,537201;290,262268;2,478027;21,155416
8,549362;290,991638;2,487793;21,269043
8,549362;291,277222;2,490234;21,289915
8,549362;291,562775;2,492676;21,310787
8,549362;292,133911;2,497559;21,352533
8,549362;292,133911;2,497559;21,352533
8,549362;291,562775;2,492676;21,310787
8,561523;291,718933;2,497559;21,382906
8,573685;291,589905;2,500000;21,434212
8,573685;291,305145;2,497559;21,413280
8,573685;291,589905;2,500000;21,434212
8,573685;292,159424;2,504883;21,476076
8,573685;291,589905;2,500000;21,434212
8,585846;291,176910;2,500000;21,464615
8,585846;291,745605;2,504883;21,506538
8,585846;291,745605;2,504883;21,506538
8,585846;291,176910;2,500000;21,464615
8,585846;291,745605;2,504883;21,506538
8,585846;291,745605;2,504883;21,506538
8,585846;290,892548;2,497559;21,443653
8,585846;291,176910;2,500000;21,464615
8,585846;290,892548;2,497559;21,443653
8,585846;290,608185;2,495117;21,422691
8,585846;290,323853;2,492676;21,401730
8,585846;290,892548;2,497559;21,443653
8,585846;290,892548;2,497559;21,443653
8,585846;290,608185;2,495117;21,422691
8,585846;290,608185;2,495117;21,422691
8,585846;290,892548;2,497559;21,443653
8,585846;290,323853;2,492676;21,401730
8,585846;290,323853;2,492676;21,401730
8,585846;290,039490;2,490234;21,380768
8,573685;289,881378;2,485352;21,308620
8,573685;289,311859;2,480469;21,266756
8,561523;289,437653;2,478027;21,215689
8,561523;288,867340;2,473145;21,173885
8,561523;288,297028;2,468262;21,132080
8,561523;288,867340;2,473145;21,173885
8,561523;289,152496;2,475586;21,194786
8,561523;288,297028;2,468262;21,132080
8,561523;288,582184;2,470703;21,152983
8,549362;288,707123;2,468262;21,102064
8,549362;288,421539;2,465820;21,081190
8,549362;288,135986;2,463379;21,060318
8,549362;288,135986;2,463379;21,060318
8,549362;287,850433;2,460938;21,039446
8,549362;287,279297;2,456055;20,997702
8,549362;287,564850;2,458496;21,018574
8,549362;287,564850;2,458496;21,018574
8,537201;287,116577;2,451172;20,926147
8,537201;287,402557;2,453613;20,946989
8,537201;287,402557;2,453613;20,946989
8,537201;286,830597;2,448730;20,905304
8,537201;286,544617;2,446289;20,884460
8,525040;287,526154;2,451172;20,896338
8,525040;286,953400;2,446289;20,854712
8,525040;286,380646;2,441406;20,813086
8,525040;287,239777;2,448730;20,875525
8,525040;287,239777;2,448730;20,875525
8,525040;286,667023;2,443848;20,833899
8,525040;286,380646;2,441406;20,813086
8,525040;286,094238;2,438965;20,792273
8,525040;285,521484;2,434082;20,750647
8,525040;285,521484;2,434082;20,750647
8,512878;285,642578;2,431641;20,700260
8,512878;285,355804;2,429199;20,679478
8,512878;285,069000;2,426758;20,658693
8,512878;285,355804;2,429199;20,679478
8,512878;284,782227;2,424316;20,637911
8,512878;283,921844;2,416992;20,575562
8,512878;283,635071;2,414551;20,554777
8,512878;283,635071;2,414551;20,554777
8,512878;282,774689;2,407227;20,492428
8,512878;282,487915;2,404785;20,471643
8,512878;282,487915;2,404785;20,471643
8,512878;281,914307;2,399902;20,430077
8,512878;280,767151;2,390137;20,346943
8,512878;281,053955;2,392578;20,367727
8,512878;281,340729;2,395020;20,388510
8,512878;280,767151;2,390137;20,346943
8,512878;280,767151;2,390137;20,346943
8,512878;280,480377;2,387695;20,326160
8,512878;279,619995;2,380371;20,263809
8,512878;279,333221;2,377930;20,243027
8,512878;279,046417;2,375488;20,222242
8,512878;278,759644;2,373047;20,201460
8,512878;278,472839;2,370605;20,180676
8,512878;278,472839;2,370605;20,180676
8,512878;278,472839;2,370605;20,180676
8,512878;277,612488;2,363281;20,118326
8,512878;277,899261;2,365723;20,139109
8,512878;277,899261;2,365723;20,139109
8,512878;277,038910;2,358398;20,076759
8,512878;276,752106;2,355957;20,055975
8,512878;276,465302;2,353516;20,035192
8,512878;276,178528;2,351074;20,014408
8,512878;275,891724;2,348633;19,993626
8,512878;275,604950;2,346191;19,972841
8,512878;275,891724;2,348633;19,993626
8,512878;275,604950;2,346191;19,972841
8,512878;275,891724;2,348633;19,993626
8,512878;275,604950;2,346191;19,972841
8,512878;275,318146;2,343750;19,952059
8,512878;275,318146;2,343750;19,952059
8,512878;274,744568;2,338867;19,910492
8,512878;274,457794;2,336426;19,889709
8,512878;274,170990;2,333984;19,868925
8,512878;274,457794;2,336426;19,889709
8,512878;274,457794;2,336426;19,889709
8,512878;273,884216;2,331543;19,848143
8,512878;274,170990;2,333984;19,868925
8,512878;274,170990;2,333984;19,868925
8,512878;273,310638;2,326660;19,806576
8,512878;273,023834;2,324219;19,785791
8,512878;272,737061;2,321777;19,765009
8,512878;272,450256;2,319336;19,744225
8,512878;272,450256;2,319336;19,744225
8,512878;272,737061;2,321777;19,765009
8,512878;273,023834;2,324219;19,785791
8,512878;272,450256;2,319336;19,744225
8,512878;273,023834;2,324219;19,785791
8,512878;273,023834;2,324219;19,785791
8,512878;272,450256;2,319336;19,744225
8,512878;272,450256;2,319336;19,744225
8,512878;272,450256;2,319336;19,744225
8,512878;272,450256;2,319336;19,744225
8,512878;271,876678;2,314453;19,702658
8,512878;272,163483;2,316895;19,723442
8,512878;272,163483;2,316895;19,723442
8,512878;271,876678;2,314453;19,702658
8,512878;272,450256;2,319336;19,744225
8,512878;272,450256;2,319336;19,744225
8,512878;272,163483;2,316895;19,723442
8,525040;272,061615;2,319336;19,772430
8,525040;271,488831;2,314453;19,730804
8,525040;271,202454;2,312012;19,709991
8,525040;270,916077;2,309570;19,689178
8,525040;270,916077;2,309570;19,689178
8,525040;270,916077;2,309570;19,689178
8,525040;270,629700;2,307129;19,668365
8,525040;271,202454;2,312012;19,709991
8,525040;271,202454;2,312012;19,709991
8,525040;270,343323;2,304688;19,647552
8,525040;270,343323;2,304688;19,647552
8,512878;270,729523;2,304688;19,619524
8,512878;270,442719;2,302246;19,598742
8,512878;269,869141;2,297363;19,557175
8,512878;270,155945;2,299805;19,577957
8,512878;270,155945;2,299805;19,577957
8,512878;269,869141;2,297363;19,557175
8,512878;270,155945;2,299805;19,577957
8,512878;270,155945;2,299805;19,577957
8,512878;269,295563;2,292480;19,515608
8,512878;269,869141;2,297363;19,557175
8,512878;269,869141;2,297363;19,557175
8,512878;269,582367;2,294922;19,536390
8,512878;269,582367;2,294922;19,536390
8,512878;269,869141;2,297363;19,557175
8,512878;269,869141;2,297363;19,557175
8,512878;269,008789;2,290039;19,494823
8,512878;269,295563;2,292480;19,515608
8,512878;269,582367;2,294922;19,536390
8,512878;269,008789;2,290039;19,494823
8,512878;269,295563;2,292480;19,515608
8,512878;269,295563;2,292480;19,515608
8,512878;269,295563;2,292480;19,515608
8,512878;269,008789;2,290039;19,494823
8,512878;269,295563;2,292480;19,515608
8,512878;269,295563;2,292480;19,515608
8,512878;268,435211;2,285156;19,453257
8,512878;268,435211;2,285156;19,453257
8,512878;268,721985;2,287598;19,474041
8,512878;268,435211;2,285156;19,453257
8,512878;268,721985;2,287598;19,474041
8,512878;268,721985;2,287598;19,474041
8,512878;268,721985;2,287598;19,474041
8,512878;268,435211;2,285156;19,453257
8,512878;268,435211;2,285156;19,453257
